date,brand,category,score_0_100,score_1_10,phone_lcp,phone_inp,phone_cls
2026-11-15,Louis Vuitton,Maison,78.1,7.8,3260,368,0.077
2026-12-15,Acne Studios,Maison,88.5,8.8,2714,215,0.022
2026-12-15,Celine,Maison,74.5,7.5,4298,327,0.142
2026-12-15,Givenchy,Maison,76.6,7.7,3136,383,0.13
2026-12-15,Louis Vuitton,Maison,75.3,7.5,3693,305,0.203
2027-01-15,Acne Studios,Maison,70.6,7.1,4665,317,0.19
2027-01-15,Celine,Maison,79.2,7.9,2976,345,0.125
2027-01-15,Givenchy,Maison,80.9,8.1,3246,344,0.042
2027-01-15,Louis Vuitton,Maison,76.7,7.7,3484,181,0.204
2027-02-15,Acne Studios,Maison,78.3,7.8,3125,373,0.164
2027-02-15,Celine,Maison,72.7,7.3,4530,393,0.128
2027-02-15,Givenchy,Maison,76.8,7.7,3259,204,0.212
2027-02-15,Louis Vuitton,Maison,80.4,8.0,4083,247,0.044
2027-03-15,Acne Studios,Maison,69.7,7.0,4729,317,0.119
2027-03-15,Celine,Maison,82.6,8.3,3025,387,0.059
2027-03-15,Givenchy,Maison,74.2,7.4,3699,382,0.169
2027-03-15,Louis Vuitton,Maison,69.1,6.9,4194,372,0.212
2027-04-15,Acne Studios,Maison,76.7,7.7,4633,278,0.024
2027-04-15,Celine,Maison,84.4,8.4,2938,196,0.13
2027-04-15,Givenchy,Maison,82.0,8.2,3793,270,0.038
2027-04-15,Louis Vuitton,Maison,79.6,8.0,3233,397,0.072
2027-05-15,Acne Studios,Maison,78.0,7.8,3250,406,0.145
2027-05-15,Celine,Maison,82.7,8.3,2832,329,0.099
2027-05-15,Givenchy,Maison,83.9,8.4,3423,316,0.026
2027-05-15,Louis Vuitton,Maison,81.8,8.2,3828,248,0.076
2027-06-15,Acne Studios,Maison,80.7,8.1,3122,239,0.192
2027-06-15,Celine,Maison,75.1,7.5,4011,404,0.039
2027-06-15,Givenchy,Maison,83.6,8.4,3021,373,0.04
2027-06-15,Louis Vuitton,Maison,80.9,8.1,3829,297,0.068
2027-07-15,Acne Studios,Maison,70.3,7.0,4010,401,0.191
2027-07-15,Celine,Maison,72.3,7.2,4206,218,0.156
2027-07-15,Givenchy,Maison,88.6,8.9,2713,179,0.021
2027-07-15,Louis Vuitton,Maison,71.5,7.2,3757,370,0.204
2027-08-15,Acne Studios,Maison,79.2,7.9,2731,401,0.185
2027-08-15,Celine,Maison,72.9,7.3,4479,201,0.193
2027-08-15,Givenchy,Maison,73.9,7.4,4555,384,0.071
2027-08-15,Louis Vuitton,Maison,83.0,8.3,3012,301,0.059
2027-09-15,Acne Studios,Maison,74.9,7.5,4236,272,0.166
2027-09-15,Celine,Maison,74.0,7.4,4264,313,0.056
2027-09-15,Givenchy,Maison,85.4,8.5,2809,214,0.163
2027-09-15,Louis Vuitton,Maison,75.2,7.5,3505,414,0.101
2027-10-15,Acne Studios,Maison,74.5,7.5,3377,386,0.166
2027-10-15,Celine,Maison,69.2,6.9,4567,313,0.13
2027-10-15,Givenchy,Maison,84.2,8.4,2815,317,0.128
2027-10-15,Louis Vuitton,Maison,81.9,8.2,3951,263,0.047
2027-11-15,Acne Studios,Maison,84.9,8.5,3240,299,0.064
2027-11-15,Celine,Maison,77.4,7.7,3489,206,0.19
2027-11-15,Givenchy,Maison,77.7,7.8,3581,388,0.104
2027-11-15,Louis Vuitton,Maison,71.1,7.1,4671,389,0.118
2027-12-15,Acne Studios,Maison,91.1,9.1,2735,188,0.036
2027-12-15,Celine,Maison,81.1,8.1,2649,274,0.205
2027-12-15,Givenchy,Maison,78.8,7.9,2835,400,0.144
2027-12-15,Louis Vuitton,Maison,89.0,8.9,2842,162,0.026
2028-01-15,Acne Studios,Maison,81.8,8.2,3294,217,0.103
2028-01-15,Celine,Maison,73.9,7.4,4646,219,0.106
2028-01-15,Givenchy,Maison,73.2,7.3,4238,295,0.104
2028-01-15,Louis Vuitton,Maison,79.1,7.9,3441,183,0.179
2028-02-15,Acne Studios,Maison,82.6,8.3,3008,222,0.161
2028-02-15,Celine,Maison,70.6,7.1,4686,253,0.191
2028-02-15,Givenchy,Maison,75.3,7.5,4503,253,0.116
2028-02-15,Louis Vuitton,Maison,87.4,8.7,2971,161,0.115
2028-03-15,Acne Studios,Maison,85.1,8.5,2963,362,0.033
2028-03-15,Celine,Maison,72.5,7.2,4362,269,0.21
2028-03-15,Givenchy,Maison,83.9,8.4,3854,253,0.027
2028-03-15,Louis Vuitton,Maison,78.3,7.8,3687,251,0.14
